Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Flat Taman Ungku Tun Aminah,2,1,"125,000",Below 250K,Tasek Maju Realty Sdn Bhd,-,Freehold,-,-,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Ungku Tun Aminah,Skudai,Johor
One Medini Condominium,2,2,"350,000",Below 500K,-,-,Leasehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No.2,Jalan Medini Utara 3,Johor
Prima Regency Service Apartment,3,2,"350,000",Below 500K,-,-,Freehold,-,4,-,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Masai Baru,Plentong,Johor
Melana Apartment,3,2,"263,000",Below 500K,-,"Minimart, Barbeque area, Playground, Jogging Track, Security",Freehold,-,4,-,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Pendidikan 1,Skudai,Johor
Taman Pulai Utama @ Shop Apartment,3,2,"168,000",Below 250K,-,Parking,Freehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,65-1-2 jln pulai 44 Taman pulai utama 81300 Skudai Johor,Skudai,Johor
Persiaran Tanjung Apartment,3,2,"228,000",Below 250K,-,"Playground, Security, Minimart, Swimming Pool, Barbeque area, Parking",Leasehold,-,17,-,1,High,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Persiaran Tanjung,Tampoi,Johor
Selangor Â» Kajang,3,2,"394,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Freehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Selangor Â» Kajang,Selangor,Selangor
Selangor Â» Kajang,3,2,"390,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Freehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Selangor Â» Kajang,Selangor,Selangor
Raintree Residence,3,2,"456,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Club house, Jogging Track",Freehold,-,-,-,2,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Bestari 7/ks09,Selangor,Selangor
Kenwingston Platz,4,2,"340,000",Below 500K,Kenwingston Group,-,Freehold,-,-,-,2,-,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Starparc Point
Bus Stop Setapak Central
Bus Stop Setapak Sentral (Opp)
Bus Stop Columbia Hospital
Bus Stop PV12 Residence
Bus Stop PV15 Platinum
Bus Stop PV12 Condominium (Opp)
Bus Stop Sri Utama Schools (Opp)
Bus Stop CIMB Genting Klang
Bus Stop 1 Sri Utama Schools
Bus Stop Aeon Big Danau Kota
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop Setapak Industrial Area
Bus Stop 2 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 1 Medan Makmur Setapak
Bus Stop Langkawi Apartment (Opp)
Bus Stop BHP Genting Klang
Bus Stop Jalan Kilang
Bus Stop PV128 Setapak",Got Mall,Setapak Central,Got Park,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia",Got School,"Sekolah Menengah Pendidikan Khas Cacat Penglihatan
Sekolah Kebangsaan Danau Kota
SJK (C) Wangsa Maju
Kolej Vokasional Setapak
Sri Utama Schools
SK Danau Kota (2)
SMK Danau Kota",Jalan Gombak,Setapak,Kuala Lumpur
Endah Ria,3,2,"386,000",Below 500K,Soon Tiek Development & PJ Development,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Tennis Court, Squash Court",Leasehold,2000,18,752,1,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Sri Endah,Sri Petaling,Kuala Lumpur
Teratai Mewah Condominium,3,2,"400,000",Below 500K,-,"Playground, Tennis Court, Barbeque area, Security, Sauna, Multipurpose hall, Parking, Swimming Pool, Squash Court, Lift, Gymnasium, Club house, Jogging Track",Freehold,-,5,400,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Langkawi,Setapak,Kuala Lumpur
The Havre @ Bukit Jalil,3,2,"520,000",Below 750K,Aset Kayamas Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,2020,40,1052,2,-,Non Bumi Lot,Got nearby LRT/MRT,"LRT Station Muhibbah (Sri Petaling Line)
LRT Station Awan Besar (Sri Petaling Line)",No Bus Stop,,Got Mall,Pavilion Bukit Jalil,Got Park,"Park at Sri Rakyat Apartment, Bukit Jalil, Kuala Lumpur, Malaysia
Jalil Sutera Park, Bukit Jalil, Kuala Lumpur, Malaysia
Park 2 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia
Taman Rekreasi Bukit Jalil, Bukit Jalil, Kuala Lumpur, Malaysia",Got School,"SJK(C) Lai Meng
SJK (T) Ladang Bukit Jalil",Lebuhraya Bukit Jalil,Bukit Jalil,Kuala Lumpur
Pelangi Indah,3,2,"250,000",Below 500K,Syarikat Perumahan Negara Berhad,"Minimart, Playground, Swimming Pool, Barbeque area, Club house, Parking, Security, Lift",Freehold,2003,20,290,1,Medium,Non Bumi Lot,Got nearby LRT/MRT,"KTM Station Batu Kentomen (Komuter Seremban Line)
KTM Station Kampung Batu (Komuter Seremban Line)
MRT Station Kampung Batu (MRT Putrajaya Line) and KTM Station Kampung Batu (Seremban Line)",Got Bus Stop,"Bus Stop Bamboo Garden Jalan Ipoh
Bus Stop Simpang Batu Kantomen / Caltex Jalan Ipoh
Bus Stop Kentonmen MRT Station
Bus Stop 2 Rainbow Garden
Bus Stop 1 Rainbow Garden
Bus Stop 1 SK Kampung Batu Jalan Ipoh
Bus Stop 2 SK Kampung Batu Jalan Ipoh
Bus Stop Kompleks Mutiara
Bus Stop Kok Lian Commercial
Bus Stop Kok Lian Garden / PPR Pekan Batu
Bus Stop Sri Kuching Garden
Bus Stop City Garden Commerical
Bus Stop SJKC Mun Choong",Got Mall,"District K @ KLDC (U/C)
Sungai Mas Plaza
Mutiara Complex",Got Park,"PTGWPKL Government Reserved Land, Bamboo Garden, Batu, Kuala Lumpur, 51200, Malaysia",Got School,"SK Kg. Batu
Sekolah Menengah Kebangsaan Raja Ali
SJK (C) Lai Chee",Jalan Degong,Off Batu 4 1/4 Jalan Ipoh,Kuala Lumpur
Kaleidoscope,3,2,"688,000",Below 750K,Kerjaya Prospek Group,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Club house, Minimart, Multipurpose hall",Leasehold,-,-,-,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,Got Mall,AEON Mall AU2,No Park,,Got School,"Sekolah Rendah Agama At-Tibrani
Lebuhraya Duta-Ulu Kelang",Jalan 1/56,Setiawangsa,Kuala Lumpur
Lexa Residence @ The Quartz WM,3,2,"610,000",Below 750K,Beverly Group Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart",Freehold,-,-,-,2,Medium,Bumi Lot,Got nearby LRT/MRT,LRT Station Sri Rampai (Kelana Jaya Line),Got Bus Stop,"Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Sri Ledang Seksyen 10
Bus Stop Wisma Felcra
Bus Stop Seasons Garden Residence
Bus Stop SMK Taman Sri Rampai
Bus Stop Surau Darul Huda
Bus Stop Petron
Bus Stop Taman Megan Setapak
Bus Stop PPR Desa Rejang
Bus Stop Taman Sri Rampai (Barat)
Bus Stop Abu Ubaidah Mosque
Bus Stop Masjid Abu Ubaidah (Opp)
Bus Stop Jalan 1/26
Bus Stop Taman Setapak Jaya (Utara)",No Mall,,No Park,,Got School,"SK Wangsa Maju Zon R10
SMK Taman Seri Rampai",Jalan 34/26,Wangsa Maju,Kuala Lumpur
Seksyen 1 flat block c4,2,1,"155,000",Below 250K,-,-,Leasehold,-,-,-,-,High,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Seksyen 1 flat block c4,Wangsa Maju,Kuala Lumpur
Seri Riana Residence,3,2,"770,000",Below 1M,IJM LAND BERHAD,"Sauna, Squash Court, Jogging Track, Club house, Security, Playground, Swimming Pool, Tennis Court, Parking, Gymnasium, Barbeque area",Leasehold,2016,-,396,2,Low,Non Bumi Lot,Got nearby LRT/MRT,LRT Station Sri Rampai (Kelana Jaya Line),Got Bus Stop,"Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Wisma Felcra
Bus Stop SMK Taman Sri Rampai
Bus Stop Sri Ledang Seksyen 10
Bus Stop Petron",Got Mall,"Wangsa Walk Mall
Alpha Angle",No Park,,Got School,"SK Wangsa Maju Zon R10
SMK Seksyen 5 Wangsa Maju
SMK Taman Seri Rampai",No Address,Wangsa Maju,Kuala Lumpur
