Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Mutiara Perdana 1 (Lengkuk Kelicap),3,2,"390,000",Below 500K,-,"Security, Sauna, Parking, Jogging Track, Playground, Minimart",Freehold,1997,-,216,2,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Persiaran Kelicap,Bayan Lepas,Penang
Raffel Tower,3,3,"1,030,000",Above 1M,BSG Property,-,Freehold,2015,29,260,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,1 Off Jalan Bukit Gambir,Bukit Gambir,Penang
Urban Suites,3,2,"650,000",Below 750K,Cosmopolitan Homes Sdn Bhd,"Minimart, Playground, Gymnasium, Jogging Track, Security, Squash Court, Parking, Swimming Pool, Tennis Court, Sauna",Freehold,2020,42,150,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Ahmad Noor,Jelutong,Penang
Summer Place,4,3,"930,000",Below 1M,Jelutong Development Sdn. Bhd. (IJM Land),"Gymnasium, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area",Leasehold,2011,22,531,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Sungai Pinang 8,Jelutong,Penang
Southbay Plaza @ Southbay City,2,2,"850,000",Below 1M,Mah Sing Group Berhad,"Security, Gymnasium, Parking, Swimming Pool, Lift",Freehold,2013,30,-,3,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Southbay City,Jalan Permatang Damar Laut,Penang
Queens Residences @ Queens Waterfront,2,2,"1,200,000",Above 1M,Ideal Property Group,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Freehold,2022,-,450,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,Bayan Lepas,Penang
Queens Residences @ Queens Waterfront,2,3,"990,000",Below 1M,Ideal Property Group,"Security, Gymnasium, Jogging Track, Parking, Lift, Swimming Pool, Sauna, Barbeque area, Playground, Minimart, Multipurpose hall, Club house",Freehold,2022,-,450,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,Bayan Lepas,Penang
Queens Residences @ Queens Waterfront,2,2,"930,000",Below 1M,Ideal Property Group,"Jogging Track, Security, Parking, Gymnasium",Freehold,2022,-,450,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,Bayan Lepas,Penang
Queens Residences @ Queens Waterfront,3,2,"1,450,000",Above 1M,Ideal Property Group,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",Freehold,2022,-,450,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,Bayan Lepas,Penang
Taman Seri Setia,3,2,"330,000",Below 500K,-,"Parking, Security, Lift, Minimart",Freehold,-,5,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Lembah Permai,Tanjung Bungah,Penang
I-Park Apartment,3,2,"215,000",Below 250K,Ideal Property Group,"Security, Parking, Playground, Jogging Track, Lift",Freehold,2014,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Rajawali Off Jalan Dato Ismail Hashim,Sungai Ara,Penang
Desa Green Apartment (Jelutong),3,2,"298,000",Below 500K,-,Lift,Freehold,1997,22,1008,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Van Praagh,off Perak Road,Penang
Edgecumbe House,3,2,"510,000",Below 750K,-,-,Freehold,1996,15,54,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Edgecumbe,Off Gurney Drive,Penang
Queens Residences @ Queens Waterfront,3,2,"1,480,000",Above 1M,Ideal Property Group,"Security, Gymnasium, Jogging Track, Parking, Lift, Swimming Pool, Sauna, Barbeque area, Playground, Minimart, Multipurpose hall, Club house",Freehold,2022,-,450,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,Bayan Lepas,Penang
D'Piazza Condominium,3,2,"425,000",Below 500K,X-Scan Penang Sdn Bhd,"Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift",Freehold,2010,19,706,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Mayang Pasir 2,Bayan Baru,Penang
Villa Emas,3,2,"447,000",Below 500K,Techware Enterprise Sdn Bhd,"Swimming Pool, Squash Court, Club house, Parking, Tennis Court, Security, Minimart, Playground, Gymnasium, Jogging Track, Barbeque area, Sauna, Lift",Leasehold,1998,16,488,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah,,Penang
Sri Aman Block C (Sri Aman Block 1 & 3),3,2,"265,000",Below 500K,-,"Parking, Playground, Security",Freehold,2008,18,701,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Paya Terubong 3,Bukit Jambul,Penang
Century Park,3,2,"328,000",Below 500K,-,"Security, Parking",Freehold,1999,9,155,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 35 Persiaran Batu Uban,Gelugor,Penang
Ramah Pavilion,3,2,"395,000",Below 500K,M Summit Group Sdn. Bhd.,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Barbeque area",Freehold,-,-,-,3,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Teluk Kumbar,Bayan Lepas,Penang
Casa Kayangan,3,2,"320,000",Below 500K,Perbadanan Kemajuan Negeri Perak (PKNP),"Swimming Pool, Parking, Security, Lift, Playground, Gymnasium",Freehold,-,-,-,-,-,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Meru Raya 2,Ipoh,Perak
Aprtment Lotus,3,2,"270,000",Below 500K,-,"Parking, Security",Freehold,-,-,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Puchong Prima Puchong Selangor,Selangor,Selangor
Puteri Palma Condominium,4,3,"930,000",Below 1M,IOI Properties Group,"Security, Playground, Swimming Pool, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Lift",Freehold,1998,15,198,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,SKVE,IOI Resort,Selangor
Puteri Palma Condominium,3,3,"437,400",Below 500K,IOI Properties Group,"Parking, Playground, Swimming Pool, Security, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Freehold,1998,15,198,2,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,SKVE,IOI Resort,Selangor
Puteri Palma Condominium,4,3,"670,000",Below 750K,IOI Properties Group,"Parking, Security, Playground, Swimming Pool, Lift, Barbeque area, Sauna, Gymnasium, Jogging Track, Minimart, Multipurpose hall",Freehold,1998,15,198,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,SKVE,IOI Resort,Selangor
Puteri Palma Condominium,3,3,"550,000",Below 750K,IOI Properties Group,"Parking, Playground, Swimming Pool, Security, Tennis Court, Squash Court, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Freehold,1998,15,198,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,SKVE,IOI Resort,Selangor
Puteri Palma Condominium,3,3,"550,000",Below 750K,IOI Properties Group,"Parking, Playground, Swimming Pool, Security, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Freehold,1998,15,198,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,SKVE,IOI Resort,Selangor
GROUND FLOOR APARTMENT LAS PALMAS RAWANG BLOCK NIPAH,3,2,"170,000",Below 250K,-,"Parking, Security, Playground, Multipurpose hall, Minimart, Jogging Track",Freehold,-,-,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,block nipah las palmas apartment  bandar country homes 48000 rawang,Selangor,Selangor
The Bay Residences,4,4,"1,338,000",Above 1M,-,"Security, Gymnasium, Parking, Minimart, Playground, Swimming Pool, Sauna, Lift",Leasehold,-,-,82,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Tuaran,Likas,Sabah
One Sulaman,3,2,"451,000",Below 500K,-,"Swimming Pool, Barbeque area, Club house, Parking, Security, Lift, Playground, Gymnasium, Sauna",Leasehold,-,-,109,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sulaman,Kota Kinabalu,Sabah
Lido Four Seasons Residence,3,2,"528,000",Below 750K,-,"Swimming Pool, Security, Gymnasium, Parking, Playground",Freehold,2015,-,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,35,Lorong Raffelesia 1,Sabah
LikasVue,1,2,"607,000",Below 750K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Club house, Jogging Track",Leasehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Teluk Likas,Kota Kinabalu,Sabah
Puncak Gloxinia,3,2,"300,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Freehold,-,-,-,1,Low,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan SMK Limau-Limauan,Papar,Sabah
SkyVue Residence,3,3,"1,059,888",Above 1M,Eng Han Property Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",Leasehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Tosaraya,Kota Kinabalu,Sabah
Putatan Platinum Apartment,3,2,"298,000",Below 500K,Syarikat Perumahan Negara Berhad,"Swimming Pool, Playground, Jogging Track, Security, Gymnasium, Tennis Court, Parking",Leasehold,-,12,1012,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Putatan,Penampang,Sabah
The Gardens (Penampang),3,2,"515,000",Below 750K,SC Land Group,"Security, Swimming Pool, Gymnasium, Playground, Minimart, Parking, Lift, Barbeque area, Club house, Jogging Track",Leasehold,2017,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Taman Formosa 2,Taman Farmosa,Sabah
One Sulaman,3,2,"408,000",Below 500K,-,"Swimming Pool, Barbeque area, Club house, Parking, Security, Lift, Gymnasium, Playground, Sauna",Leasehold,-,-,109,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sulaman,Kota Kinabalu,Sabah
Bandar Sierra Apartment,2,1,"225,000",Below 250K,-,"Parking, Playground, Jogging Track, Security, Swimming Pool",Leasehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bandar Sierra Boulevard 2,Tuaran,Sabah
The Suritz,3,2,"548,000",Below 750K,Casa Sara (SCland),"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",Leasehold,2015,-,128,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Kelombong,Kota Kinabalu,Sabah
Hartamas Height,3,2,"420,000",Below 500K,-,-,Leasehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Kepayan Kobusak,Penampang,Sabah
HK Square,3,2,"495,000",Below 500K,Libing Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",Leasehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Stapok Utama,Kuching,Sarawak
Jazz Suites @ Vivacity,3,2,"715,000",Below 750K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Jogging Track",Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Wan Alwi,Tabuan Jaya,Sarawak
De Lofts,2,1,"500,000",Below 750K,Kenbest Properties Sdn Bhd,-,Leasehold,2017,-,139,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Tun Jugah,Kempas Heights,Sarawak
TT3 Soho,2,1,"550,000",Below 750K,Ibraco Berhad,-,Leasehold,-,-,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong 8,Jalan Tabuan Tranquility,Sarawak
Tribeca,3,2,"700,000",Below 750K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Club house, Jogging Track",Leasehold,-,-,684,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Urat Mata 4,Jalan Urat Mata,Sarawak
Village Grove Condominium,3,2,"580,000",Below 750K,-,-,Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman BDC,Kuching,Sarawak
Yarra Park,3,2,"530,000",Below 750K,-,"Parking, Security, Lift, Swimming Pool, Gymnasium",Leasehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Dogan 6,Kuching,Sarawak
Village Grove Condominium,3,3,"470,000",Below 500K,-,-,Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman BDC,Kuching,Sarawak
Village Grove Condominium,3,3,"580,000",Below 750K,-,-,Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman BDC,Kuching,Sarawak
Village Grove Condominium,5,2,"650,000",Below 750K,-,-,Leasehold,-,-,-,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman BDC,Kuching,Sarawak
SkyVilla Condominium (MJC),3,2,"493,000",Below 500K,Mudajaya Group,"Playground, Jogging Track, Swimming Pool, Security, Lift, Parking, Gymnasium, Minimart, Club house",Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bandar Baru Batu Kawa (MJC),Kuching,Sarawak
Lagenda,2,3,"1,500,000",Above 1M,-,"Security, Lift, Swimming Pool, Playground, Parking, Gymnasium, Barbeque area",Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Mathie,Kuching,Sarawak
Rex Apartment,3,2,"700,000",Below 750K,-,"Parking, Security, Lift, Swimming Pool, Gymnasium",Leasehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Stutong 3,Kuching,Sarawak
Tribeca,3,2,"750,000",Below 1M,-,"Security, Lift, Parking, Swimming Pool, Playground, Gymnasium, Multipurpose hall",Leasehold,-,-,684,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Urat Mata 4,Jalan Urat Mata,Sarawak
The Podium,3,2,"600,000",Below 750K,Chen Ling Group,"Parking, Lift, Swimming Pool, Gymnasium, Multipurpose hall",Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Tun Ahmad Zaidi Adruce,Kuching,Sarawak
Royal Richmond Gold,2,2,"575,000",Below 750K,Kenbest Group,"Parking, Security, Lift, Swimming Pool, Barbeque area, Gymnasium",Leasehold,-,-,-,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Richmond Hill,Kuching,Sarawak
Pangsapuri Lotus (Teratai),3,2,"270,000",Below 500K,-,Security,Freehold,-,5,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Puchong Prima,Puchong,Selangor
Pangsapuri Saujana Permai 2,3,2,"280,000",Below 500K,Majlis Perbandaran Kajang,"Security, Minimart, Lift, Parking, Playground",Freehold,2006,22,246,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Bukit Mutiara 1,Sentosa Heights,Selangor
Masreca n19eteen (Masreca-19),3,2,"280,000",Below 500K,Sterling Group,"Security, Parking, Lift, Playground, Multipurpose hall",Freehold,-,-,960,1,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Rimba Permai,Cyber 10,Selangor
Palma Apartment (Bandar Country Homes),3,2,"100,000",Below 250K,-,-,Freehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,Got School,Sekolah Menengah Kebangsaan Taman Desa 2,Off Jalan Batu Arang,Bandar Country Homes,Selangor
Lestari Perdana Apartment,3,2,"410,000",Below 500K,-,"Parking, Playground, Jogging Track",Leasehold,-,-,-,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park at Lestari Perdana 6, Subang Jaya
Park at Taman Rekreasi Puncak Jalil, Taman Puncak Jalil
Park at Villa Avenue, Putra Permai",Got School,"Sekolah Jenis Kebangsaan {C} Bukit Serdang
Sekolah Menengah Kebangsaan Taman Desaminium",Jalan LP 7/2,Lestari Perdana,Selangor
Sri Lavender Apartment,3,2,"295,000",Below 500K,TLS Group,"Parking, Jogging Track, Security, Barbeque area, Minimart, Playground, Lift",Freehold,2007,13,445,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sepakat Indah 2/1,Taman Sepakat Indah 2,Selangor
228 Selayang Condominium,3,2,"368,000",Below 500K,Mahumas Sdn Bhd,"Parking, Gymnasium, Swimming Pool, Playground",Leasehold,2015,16,228,-,-,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,Got School,"Sekolah Menengah Kebangsaan Seri Selayang
Sekolah Menengah Kebangsaan Taman Selayang
Sekolah Kebangsaan (2) Taman Selayang
Sekolah Kebangsaan (1) Taman Selayang
Sekolah Menengah Kebangsaan Selayang Bharu
Sekolah Menengah Kebangsaan Darul Ehsan
Sekolah Kebangsaan Selayang Baru (2)
Sekolah Jenis Kebangsaan(C) Selayang Baru",Jalan Besar Selayang Baru,Selayang Baru,Selangor
Sky Condominium @ Bandar Puchong Jaya,3,2,"950,000",Below 1M,IOI Properties Group,"Jogging Track, Multipurpose hall, Swimming Pool, Tennis Court, Parking, Gymnasium, Security, Playground, Barbeque area, Lift, Minimart, Club house",Freehold,2019,30,1039,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park at Sri Teratai Park, Bandar Puchong Jaya
Park at Kawasan Perumahan Tempua, Bandar Puchong Jaya
Park at Residensi Jalan Bangau, Subang Jaya
Park at Taman Permainan belakang SKS2BK, Bandar Kinrara
Park at Taman Tenaga, Subang Jaya
Park 2 at Subang Jaya, Petaling",Got School,"Sekolah Kebangsaan Bandar Kinrara Seksyen 2
Sekolah Jenis Kebangsaan (Cina) Shin Cheng (Harcroft)
Sekolah Menengah Kebangsaan Bandar Puchong Jaya (B)
Sekolah Kebangsaan Bukit Kuchai",Persiaran Puchong Jaya Selatan,Bandar Puchong Jaya,Selangor
Flexis @ One South,3,2,"530,000",Below 750K,Hua Yang Berhad,"Security, Multipurpose hall, Lift, Barbeque area, Playground, Swimming Pool, Sauna, Parking, Gymnasium, Jogging Track",Leasehold,2015,21,424,-,Low,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop at Jalan Utama 1
Bus Stop at Jalan Utama 2",No Mall,,Got Park,"Park at Serdang Raya 7, Serdang Raya
Park at Serdang Raya 6, Serdang Raya
Park at Serdang Raya 8, Serdang Raya",No School,,Persiaran Serdang Perdana,Seri Kembangan,Selangor
Karisma @ Eco Majestic,3,2,"260,000",Below 500K,Eco World Development Group Berhad,"Swimming Pool, Security, Parking, Minimart, Playground, Sauna, Gymnasium, Lift",Freehold,2014,4,75,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Pangsapuri Karisma,Jalan Eco Majestic 3A/5,Selangor
East Lake Residence,3,2,"350,000",Below 500K,Hongkong Land,"Security, Swimming Pool, Barbeque area, Playground, Sauna, Parking, Gymnasium, Tennis Court",Leasehold,-,-,634,-,Medium,Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop at Jalan SR 1/10
Bus Stop at Jalan Utama 3
Bus Stop at Jalan Utama 2
Bus Stop at Jalan Utama 1",Got Mall,South City Plaza,Got Park,"Park 2 at SK 5, Kampung Baru Seri Kembangan
Park at SK 2, Kampung Baru Seri Kembangan
Park 1 at SK 5, Kampung Baru Seri Kembangan
Park at SK 4, Kampung Baru Seri Kembangan
Park at SK 9, Kampung Baru Seri Kembangan
Park at Serdang Raya 6, Serdang Raya
Park at Taman Serdang Utama, Bukit Serdang",No School,,Persiaran Serdang Perdana,Taman Serdang Perdana,Selangor
Pangsapuri Angsana,3,2,"240,000",Below 250K,-,"Parking, Playground, Barbeque area, Minimart, Jogging Track",Freehold,-,-,-,-,High,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,Got Mall,BMC Mall,No Park,,No School,,Jalan Penggawa 2/2,Cheras,Selangor
Cyberia SmartHomes,3,2,"255,000",Below 500K,Paramoden (MK Land),"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Minimart, Tennis Court, Club house",Freehold,2002,-,1188,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop at Persiaran Multimedia 1
Bus Stop at Jalan Fauna 1
Bus Stop at University bus stop
Bus Stop at Persiaran Ceria",Got Mall,Gem In Mall,Got Park,"Park at Mutiara Ville Park A, Cyber 11
Park at Mutira Viile Tower G Park, Cyber 11
Park at Cyberjaya, Sepang",Got School,"Sekolah Kebangsaan Cyberjaya
Sekolah Menengah Kebangsaan Cyberjaya
King Henry VIII College
ELC International School",Persiaran Multimedia,Cyberjaya,Selangor
Atmosfera,4,3,"485,000",Below 500K,Villamas Group of Companies,"Gymnasium, Squash Court, Barbeque area, Club house, Security, Swimming Pool, Sauna, Playground, Minimart, Multipurpose hall, Parking, Lift, Jogging Track",Freehold,2012,18,453,2,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop at Jalan Nuri 2
Bus Stop at Jalan Pipit
Bus Stop at Jalan Belatuk 5
Bus Stop at Jalan Bandar Puchong Jaya 3
Bus Stop at Jalan Nuri 1
Bus Stop at Jalan Bandar Puchong Jaya 4
Bus Stop at Jalan TK 5/10
Bus Stop at Jalan TK 5/26
Bus Stop at Jalan TK 5/32A
Bus Stop at Jalan Bandar Puchong Jaya 1
Bus Stop at Jalan Bandar Puchong Jaya 2",Got Mall,Syopz Mall @ Taylor's Lakeside Campus,Got Park,"Park 3 at Bandar Puchong Jaya, Subang Jaya
Park at Koi Kinrara, Bukit Tandang
Park at Taman Mawar, Bukit Tandang
Park 2 at Bandar Puchong Jaya, Subang Jaya
Park at University Square, PJS 7
Park 1 at Bandar Puchong Jaya, Subang Jaya",Got School,"Sekolah Kebangsaan Puchong Jaya 2
Sekolah Menengah Kebangsaan Bandar Puchong Jaya (A)
Sekolah KAFA Integrasi An-Najah
Sekolah Kebangsaan Bandar Sunway
Sekolah Menengah Kebangsaan Bandar Sunway
Sekolah Kebangsaan Puchong Jaya",Jalan Pipit,Bandar Puchong Jaya,Selangor
Pangsapuri Resak,3,2,"195,000",Below 250K,-,"Swimming Pool, Parking, Security, Playground",Leasehold,-,-,-,-,-,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,U10/14,Persiaran Pulau Carey,Selangor
Flora Damansara Flat,3,2,"245,000",Below 250K,Saujana Triangle,"Security, Playground, Minimart, Parking, Lift",Leasehold,-,20,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan PJU 8/9,Damansara Perdana,Selangor
Amverton Greens,3,2,"505,000",Below 750K,A&M Realty,"Parking, Jogging Track, Lift, Swimming Pool, Security, Playground, Sauna, Multipurpose hall, Club house, Gymnasium, Barbeque area",Freehold,2020,-,280,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park at Section 32, Shah Alam",Got School,"SRI Al-Thaqafah
Sekolah Kebangsaan Bukit Rimau",Jalan 32/112,Bukit Kemuning Golf & Country Resort,Selangor
The Amber Residences,2,1,"468,000",Below 500K,Gamuda Land Sdn Bhd,"Sauna, Barbeque area, Parking, Playground, Security, Jogging Track",Leasehold,2022,-,596,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,Got Mall,Quayside Mall,Got Park,"Park at Kuala Langat, Selangor",No School,,Twentyfive.7 Experience Gallery,Lot 43495,Selangor
Magna Ville Condominium,2,2,"280,000",Below 500K,Magna Park Sdn Bhd,"Security, Sauna, Parking, Swimming Pool, Gymnasium, Playground, Tennis Court, Jogging Track, Lift, Barbeque area, Minimart, Multipurpose hall, Club house",Leasehold,2010,22,1074,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,Got Mall,Selayang Capital,No Park,,No School,,Off Lebuhraya Selayang - Kepong,Taman Selayang Jaya,Selangor
Sri Dahlia Apartment (Kajang),3,2,"250,000",Below 500K,TLS Group,"Security, Swimming Pool, Parking, Lift, Playground",Freehold,2004,18,332,1,Low,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sepakat Indah 2/1,Taman Sepakat Indah 2,Selangor
